,w_init,trajectory,loss
0,-1.9540269270377653,"[-0.663823962379408, -0.7572083766474778, -0.9248602325215518, -1.2644884191075771, -1.9540269270377653]","[68.70213445729601, 48.65372438473798, 44.04849755038793, 29.384259718698615]"
1,1.7653984382694201,"[1.7625959475372648, 1.7627701816839654, 1.7616227593886324, 1.7628127100576052, 1.7653984382694201]","[1.2312608375364555, 1.1070427494763224, 0.870637977691297, 0.606467156000809]"
2,-1.3080852257098942e+191,"[-3.999085001461241, 70.65842107681985, -78195749.16446444, 2.5111974306105327e+38, -1.3080852257098942e+191]","[4681.123999070235, 91251851567.59889, 3.2727494315531194e+47, 5.4747670963704745e+230]"
3,0.7096243737995698,"[-1.5813394189452818, -2.1737785541490497, -0.017440767444189324, 0.5388822852525914, 0.7096243737995698]","[9.101038335538298, 34.36338498649241, 51.790682349501964, 8.443611710185987]"
4,-1.8346382377110336e+92,"[-2.8259528734630956, 11.595983104860496, -9038.063478772767, 4.75859563146693e+18, -1.8346382377110336e+92]","[510.4599128707876, 1622830.047628335, 7.168557171323502e+23, 1.455050250548985e+112]"
5,-2.650010118272397e+130,"[-3.2612912418496176, 21.4786281600435, -305863.01272942516, 2.1163974394058847e+26, -2.650010118272397e+130]","[1146.4654247155074, 105775106.51500352, 1.0788816112801007e+33, 9.347457714518978e+157]"
6,-3.4122907049776456e+48,"[-2.5099183089786328, 6.183445858548015, -165.74712289577832, 7411954061.061924, -3.4122907049776456e+48]","[233.08865851301886, 14785.48187830258, 20547133538769.918, 4.21529032437259e+59]"
7,0.3230197540286908,"[-1.235514183655618, -2.118307054360003, -0.28658228172005934, -0.01052082034335519, 0.3230197540286908]","[40.948071146206985, 27.09104150059459, 48.11189914850782, 34.76264073809148]"
8,0.30243860232157244,"[-0.8258602061546405, -1.2076965357637903, -1.624371867711614, -2.0978561081985045, 0.30243860232157244]","[75.61047221949245, 20.56141654437416, 5.676562827479432, 33.68759968647055]"
9,1.2559111916278631,"[0.31053387202685556, 0.7185294077171783, 1.0069888230242763, 1.1893865795979615, 1.2559111916278631]","[23.72923993034756, 12.073963768990449, 4.885952388062539, 3.2151657392933024]"
10,-1.6698965997588697,"[-0.6464438847736416, -0.6883156067187753, -0.8045425484985723, -1.0698248438740205, -1.6698965997588697]","[43.40074273866051, 62.3120066489479, 57.561817641852485, 45.99904986602222]"
11,1.537016332254678,"[1.481756003174076, 1.5097727199785616, 1.5196287972691753, 1.526521742251745, 1.537016332254678]","[1.6350353922907521, 0.8070145462551916, 1.0144357193422886, 1.213173526755754]"
12,1.10984219306383,"[-2.3643820021478605, 3.1073647217178295, 0.2903547039923232, 0.6280000557919067, 1.10984219306383]","[123.53555809061906, 82.22730312947384, 21.146998165992635, 21.122560328233547]"
13,1.4650683905571507,"[3.0249394911275633, 1.3751714698761046, 1.4429025554415091, 1.44574185153312, 1.4650683905571507]","[46.54807171341592, 2.29454911840475, 0.7369113661590051, 1.3895750380187155]"
14,-8.094226912772464e+187,"[-3.7808992544165907, 64.46170063179126, -59883430.223400705, 7.380706153537931e+37, -8.094226912772464e+187]","[3947.5049009388003, 63693517346.232, 7.366366772887269e+46, 9.956851730538674e+226]"
15,1.4809608664203537,"[1.3637400814272178, 1.3981785234666018, 1.4479081245278935, 1.4542347452591609, 1.4809608664203537]","[1.42916326349908, 1.6488947349687242, 1.3267088074863713, 0.5987856553665066]"
16,-1.9487680091964412,"[-0.6615615810629842, -0.7466780353067555, -0.8892194439682705, -1.2351406683440276, -1.9487680091964412]","[65.75108970183028, 44.67189504558525, 51.19976236015212, 31.78079827620682]"
17,1.2966421275475535,"[0.46951862756601326, 1.0195665082456569, 1.1626746976907643, 1.233975162662892, 1.2966421275475535]","[26.847346950829213, 4.131286394904051, 2.4644186437235693, 2.7679448176217876]"
18,-7.222886716724854e+90,"[-2.87690449123813, 10.710570248453736, -8582.355979266882, 2.303112289879047e+18, -7.222886716724854e+90]","[498.31450013130626, 1411431.3124450718, 3.294585104403807e+23, 2.7725198609488544e+110]"
19,2.127433806076508,"[-2.4151880873209697, 2.380956806785879, 2.1742916084198716, 2.1134209742805097, 2.127433806076508]","[115.64718661765633, 3.816225330392903, 1.7528658460855053, 0.6016018015178612]"
